City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,badger,64.8,-147.5333,7.95,67,75,1.54,US,1715247741
1,okulovka,58.4008,33.2908,5.31,29,100,6.49,RU,1715247815
2,mamuju,-2.6748,118.8885,26.89,87,99,2.21,ID,1715247815
3,queenstown,-31.8976,26.8753,28.11,20,4,8.91,ZA,1715247815
4,iguape,-24.7081,-47.5553,22.63,66,12,3.48,BR,1715247815
5,vernon,50.2581,-119.2691,10.72,55,31,4.63,CA,1715247605
6,soio,-6.1349,12.3689,27.23,80,100,3.18,AO,1715247815
7,san patricio,28.017,-97.5169,27.69,98,81,4.68,US,1715247721
8,puerto natales,-51.7236,-72.4875,0.16,97,97,0.64,CL,1715247723
9,padang,-0.9492,100.3543,31.03,80,77,2.35,ID,1715247816
10,college,64.8569,-147.8028,7.99,64,100,1.54,US,1715247708
11,aykhal,66.0,111.5,-5.3,83,100,5.78,RU,1715247744
12,constantia,44.1833,28.65,13.38,74,100,8.16,RO,1715247816
13,yellowknife,62.456,-114.3525,7.29,77,75,2.06,CA,1715247711
14,hithadhoo,-0.6,73.0833,29.03,78,86,4.76,MV,1715247723
15,suez,29.9737,32.5263,32.19,13,0,1.51,EG,1715247817
16,alice springs,-23.7,133.8833,19.75,45,40,4.12,AU,1715247689
17,mount pearl,47.5166,-52.7813,5.08,90,75,4.63,CA,1715247714
18,kalmunai,7.4167,81.8167,31.44,63,88,4.36,LK,1715247817
19,haiku-pauwela,20.9219,-156.3051,22.8,81,40,1.34,US,1715247817
20,sakiet sidi youssef,36.2229,8.3555,14.02,60,89,9.23,TN,1715247817
21,papatowai,-46.5619,169.4708,8.92,78,85,6.92,NZ,1715247710
22,jandaia do sul,-23.6031,-51.6433,21.36,68,32,1.7,BR,1715247817
23,adamstown,-25.066,-130.1015,21.39,78,65,2.06,PN,1715247706
24,edgewater,28.9889,-80.9023,24.51,86,0,4.17,US,1715247783
25,thunder bay,48.4001,-89.3168,3.99,75,0,2.57,CA,1715247796
26,tindouf,27.6711,-8.1474,32.25,12,0,2.57,DZ,1715247818
27,waitangi,-43.9535,-176.5597,11.85,72,94,5.53,NZ,1715247706
28,labuan,5.2767,115.2417,30.2,74,20,1.54,MY,1715247818
29,enewetak,11.3474,162.3373,27.35,78,81,9.26,MH,1715247724
30,medyn',54.9692,35.8586,2.64,37,95,5.36,RU,1715247819
31,keflavik,64.0049,-22.5624,6.95,52,75,3.09,IS,1715247719
32,talnakh,69.4865,88.3972,-6.55,84,12,1.6,RU,1715247707
33,dowlatabad,32.7998,51.6955,20.82,16,20,3.09,IR,1715247819
34,turbiv,49.3479,28.7212,14.05,55,100,3.01,UA,1715247819
35,sandakan,5.8402,118.1179,30.82,70,20,4.12,MY,1715247819
36,kodiak,57.79,-152.4072,0.73,69,100,3.09,US,1715247726
37,chegdomyn,51.1167,133.0167,8.03,41,97,3.83,RU,1715247715
38,salvador,13.8333,-88.9167,22.81,92,100,0.7,SV,1715247820
39,vyselki,45.5794,39.6597,17.6,44,96,4.2,RU,1715247820
40,atafu village,-8.5421,-172.5159,29.63,70,100,0.82,TK,1715247719
41,murun-kuren,49.6342,100.1625,13.8,32,81,14.93,MN,1715247820
42,kingston,17.997,-76.7936,27.53,83,20,1.54,JM,1715247820
43,grytviken,-54.2811,-36.5092,-2.71,68,47,1.75,GS,1715247706
44,along,28.1667,94.7667,23.64,54,100,1.43,IN,1715247821
45,vorkuta,67.5,64.0,-2.16,74,100,9.39,RU,1715247821
46,iqaluit,63.7506,-68.5145,-6.15,79,75,3.09,CA,1715247710
47,bubaque,11.2833,-15.8333,26.28,73,87,4.61,GW,1715247821
48,bredasdorp,-34.5322,20.0403,19.75,49,0,2.36,ZA,1715247724
49,port-aux-francais,-49.35,70.2167,4.65,77,25,10.64,TF,1715247705
50,afaahiti,-17.75,-149.2833,23.93,74,90,7.59,PF,1715247821
51,albany,42.6001,-73.9662,12.04,81,61,1.79,US,1715247713
52,puerto ayora,-0.7393,-90.3518,23.08,99,99,1.79,EC,1715247714
53,dudinka,69.4058,86.1778,-6.29,89,26,5.36,RU,1715247822
54,prado,-17.3411,-39.2208,23.82,91,27,1.79,BR,1715247745
55,garcia,25.8167,-100.5833,30.22,49,10,3.12,MX,1715247822
56,gaspe,48.8334,-64.4819,4.95,87,100,0.0,CA,1715247734
